Text Date,Value Date,Zip Code,Water Use,Power Use
Jun_2013,Jun-13,"90005
(34.05907233200048, -118.30301712299968)",28.5,280
Jun_2013,Jun-13,"90034
(34.02829231300046, -118.40269589399969)",13.59,292
Jun_2013,Jun-13,"90292
(33.98163129900047, -118.4511079449997)",10.08,443
Jun_2013,Jun-13,"91210
(34.14436044500047, -118.2561258229997)",0,0
Jun_2013,Jun-13,"90023
(34.02418193800048, -118.20195663999971)",10.95,306
Jun_2013,Jun-13,"90065
(34.10881395500047, -118.22766603799971)",10.61,386
Jun_2013,Jun-13,"90037
(34.00349102100046, -118.28709702299972)",11.33,268
Jun_2013,Jun-13,"90016
(34.02888323300044, -118.35308896599969)",10.38,294
Jun_2013,Jun-13,"90004
(34.07572239300049, -118.30301712299968)",21.27,346
Jun_2013,Jun-13,"90069
(34.08940047000044, -118.3797890249997)",27.34,1091
Jun_2013,Jun-13,"90041
(34.13538366300048, -118.20684911499967)",13.21,450
Jun_2013,Jun-13,"90014
(34.04475119400047, -118.2527367189997)",0,325
Jun_2013,Jun-13,"90062
(34.00387338200045, -118.30885680999972)",11.4,312
Jun_2013,Jun-13,"90026
(34.07687382000046, -118.26535895999967)",9.65,273
Jun_2013,Jun-13,"91364
(34.16201420300047, -118.59846880599969)",27.27,1013
Jun_2013,Jun-13,"90067
(34.059550283000476, -118.41458817399968)",0,714
Jun_2013,Jun-13,"90035
(34.05421027100044, -118.38387767499972)",16.25,421
